File1,File2,Conflict_Type,Claim1,Claim2,Evidence_Location,Severity,Resolution_Recommendation
C:\Users\17175\Desktop\AIVillage\docs\README.md,C:\Users\17175\Desktop\AIVillage\docs\api\README.md,component_status_overview,"Multiple components marked as Partial","Component status varies from Complete to Missing","line 38-44 vs line 36-44","medium","Reconcile component status consistency across documentation"
C:\Users\17175\Desktop\AIVillage\README.md,C:\Users\17175\Desktop\AIVillage\config\requirements\README.md,dependency_status,"Dependencies: Missing grokfast>=0.1.0 prevents installation","Production Ready: Updated comprehensive requirements files","line 28 vs line 23","high","Critical dependency issue vs production ready claims"
C:\Users\17175\Desktop\AIVillage\README.md,C:\Users\17175\Desktop\AIVillage\docs\deployment\README.md,deployment_readiness,"Production Deployment: Complete system integration testing","Deployment Environment Variables for Docker Compose stack","line 112 vs line 3","medium","Clarify deployment readiness vs environment setup requirements"
C:\Users\17175\Desktop\AIVillage\docs\README.md,C:\Users\17175\Desktop\AIVillage\docs\README_OFFLINE_STEPS.md,setup_complexity,"Development vs Production deployment needs work","Comprehensive OFFLINE/ONLINE setup procedures","line 52-54 vs line 1","medium","Different perspectives on setup complexity and requirements"
C:\Users\17175\Desktop\AIVillage\README.md,C:\Users\17175\Desktop\AIVillage\docs\README.md,architecture_description,"Professional Architecture: Consolidated structure","Multiple fragmented implementations","line 19 vs line 47-48","medium","Reconcile consolidated vs fragmented architecture claims"
C:\Users\17175\Desktop\AIVillage\README.md,C:\Users\17175\Desktop\AIVillage\docs\README.md,testing_status,"Critical help needed on dependency resolution","5 of 24 integration tests passing","line 131 vs line 5","high","Major discrepancy in system testing and operational status"
C:\Users\17175\Desktop\AIVillage\README.md,C:\Users\17175\Desktop\AIVillage\docs\README.md,token_economy_status,"Token Economy: Framework designed but not implemented","Token Economy: Framework designed but not implemented","line 96 vs line 51","low","Consistent - no conflict identified"
C:\Users\17175\Desktop\AIVillage\README.md,C:\Users\17175\Desktop\AIVillage\docs\README.md,dao_governance_status,"DAO Governance: Conceptual design only","DAO Governance: Conceptual only, no implementation","line 97 vs line 52","low","Consistent - no conflict identified"
C:\Users\17175\Desktop\AIVillage\.claude\README.md,C:\Users\17175\Desktop\AIVillage\integrations\clients\README.md,client_integration,"AIVillage project completion ~65%","Production status for multiple client SDKs","line 7 vs line 9-16","medium","Reconcile overall project completion with specific client SDK claims"
C:\Users\17175\Desktop\AIVillage\docs\guides\README_AGENT_FORGE_CONSOLIDATED.md,C:\Users\17175\Desktop\AIVillage\docs\models\hrrm\README.md,model_parameter_targeting,"25M parameter targeting (99.94% accuracy)","~50M parameter models for HRRM system","line 160 vs line 30","medium","Different parameter targets for different model systems - clarify scope"
C:\Users\17175\Desktop\AIVillage\integrations\bounties\betanet\README.md,C:\Users\17175\Desktop\AIVillage\README.md,rust_integration_status,"Seamless AI Village integration with Python bridge","P2P Integration: Protocol mismatch prevents connections","line 218-236 vs line 31","critical","Major contradiction in Rust/Python integration status"
C:\Users\17175\Desktop\AIVillage\ui\README.md,C:\Users\17175\Desktop\AIVillage\docs\README.md,ui_testing_status,"Comprehensive Test Suite with complete validation","5 of 24 integration tests passing","line 201-207 vs line 5","high","UI claims comprehensive tests while main README reports test failures"
C:\Users\17175\Desktop\AIVillage\docs\edge_computing_fog_coordination\README.md,C:\Users\17175\Desktop\AIVillage\infrastructure\shared\education\README.md,mobile_application_scope,"Mobile-first optimization for distributed edge computing","React Native application for offline-first learning","line 5 vs line 3","medium","Different mobile application scopes - system optimization vs educational app"
C:\Users\17175\Desktop\AIVillage\core\gateway\README.md,C:\Users\17175\Desktop\AIVillage\README.md,performance_targets,"<100ms health check response time target","Performance claims need verification with real testing","line 14 vs line 47","medium","Specific targets vs general need for verification"
C:\Users\17175\Desktop\AIVillage\docs\api\README.md,C:\Users\17175\Desktop\AIVillage\integrations\clients\README.md,api_documentation_completeness,"Comprehensive API documentation for all components","Complete API documentation and examples","line 5 vs line 136","low","Both claim comprehensive docs - verify consistency"
